"year","recipient_code","to_di_id","flow_code","category","finance_type","aid_type","usd_disbursement","short_description","purpose_code","sector_code","channel_code","long_description","ftc","pba","budget_or_transaction","budget_type","iati_identifier","donor_code","from_di_id"
,234,"CG",10,,110,"C01",,"To provide Chevening scholarships to students from ODA-eligible countries in the region, enabling them to pursue postgraduate study at UK higher education institutions",114,11420,,"Scholarships","False","False","Transaction",,"GB-GOV-3-PID-000060",12,"GB"
2016,261,"NG",10,,110,"C01",149189.12,"MalariaCare",130,13020,,"Under MalariaCare, PATH and its partners will work to improve accuracy of diagnostic testing in the public sector; increase the percentage of suspected malaria patients who received a diagnostic test for malaria; increase the percentage of patients who receive appropriate treatment for malaria or other related illness, consistent with the diagnostic test; and strengthen lab systems at country level for diagnosis of malaria and other infectious disease.","False","False","Transaction",,"US-GOV-1-NG-AID-OAA-A-12-00057",302,"US"
2017,89,"89",10,,110,"C01",723.206245692,"Financing of expenses related to storage charges",998,99810,,,"False","False","Transaction",,"DK-1-266775-32074",3,"DK"
2015,240,"GM",10,,110,"B02",329444,"New vaccine support (NVS) for PENTA",122,12250,,"GAVI’s support for new vaccines presents an opportunity for countries to not only implement vaccines that protect against diseases causing substantial morbidity and/or mortality, but also to build upon the vaccine investments in order to increase immunisation coverage rates, and strengthen routine immunisation services and primary health care systems. The pentavalent vaccine, administered in a three-dose schedule, offers protection against five diseases: diphtheria-tetanus-pertussis (DTP), heptatitis B and Haemophilius influenzae type b. Until 2013, GAVI has helped to introduce the pentavalent in 70 of the 73 GAVI-eligible countries, with the aim of reaching all 73 by the end of 2014. GAVI support for pentavalent vaccine is in line with WHO recommendations, for routine infant immunisation and primarily targeting children under one year of age.","False","False","Budget",2,"47122-0915-GMB-04C-X",1311,"gavi"
2004,253,"MW",10,,110,"C01",318347.671969,"MULTILATORGANISATION and P0026 for Tikambirane",151,15150,,"Title: MULTILATORGANISATION and P0026 for Tikambirane","False","False","Transaction",,"GB-1-103838-101",12,"GB"
2015,228,"BI",,,,"C01",33333.3335,"BI-Infrastructure Resilience Emergency",740,74010,,"The project development for the Infrastructure Resilience Emergency Project for the Burundi is to enhance the climate resilience of key transport and drainage infrastructure in Greater Bujumbura while strengthening the country<U+0092>s capacity to manage and prevent natural disasters. The proposed project will have the three main components. Component 1, rehabilitation of roads and urban infrastructure, is related to the implementation of a program of activities to rehabilitate the Recipient<U+0092>s deteriorated and flood-affected roads and urban infrastructure in the target area. Component 2, capacity strengthening in disaster risk management, will deal with the implementation of a program of activities to enhance the recipient<U+0092>s capacity in natural disaster response and risk management. Component 3, institutional support, project management and coordination, will pay for consultancy services, technical advisory services such as technical studies and assessments, training, media Information, Education and Communication (IEC), and financial audits. This component is also expected to finance project management and coordination costs, including the Project Management Unit (PMU) operating costs. The project will continue the institutional support initiated in the road sector under the RSDP since the capacity of the Government of Burundi to efficiently manage and maintain the country<U+0092>s road network remains weak.","False","False","Budget",2,"44000-P150929",905,"ida"
2016,666,"BD",,,,"C01",216666.6671,"Reaching Out of School Children II",111,11120,,"The development objective of the Second Reaching Out-of-School Children (ROSC) Project for Bangladesh is to improve equitable access, retention and completion in quality primary education for out-of-school children in selected under-served areas. There are four components to the project. The first component is increasing equitable access. The objective of this component is to reduce number of out-of-school children in selected under-served areas through provision of access to formal primary education with grants to learning centers and education allowances to eligible students. This component will finance: (i) grants and allowances, and (ii) ROSC Pilot in selected urban areas. The second component is enhancing education quality. The objective of this component is to improve retention in and completion of primary education cycle through three sub-components: (i) teacher development, (ii) classroom support, and (iii) prevocational skills training pilot for eligible ROSC students. Institute of Education Research (IER) of Dhaka University has been identified to serve as a training agency to support the project on teacher development and classroom support. The third component is improving project management and capacity. The objectives of this component are to establish an effective project implementation structure and enhance project implementation capacity through mobilization of communities and involvement of capable partner agencies to deliver quality primary education to out-of-school children. This component comprises: (i) project management and capacity building, and (ii) social awareness and advocacy. The fourth component is monitoring and evaluation. The objective of this component is to establish an effective monitoring and evaluation system to monitor inputs, processes and outputs, and assess the impact in relation to the stated project development objectives. T","False","False","Budget",2,"44000-P131394",905,"ida"
2019,645,"IN",10,,110,"C01",15497.6302444,"PREPARATION OF AN ENVIRONMENT AND SOCIAL MANAGEMENT FRAMEWORK (ESMF) FOR THE PROPOSED INDIA SMART CITIES PROGRAMME",430,43030,,"Title: PREPARATION OF AN ENVIRONMENT AND SOCIAL MANAGEMENT FRAMEWORK (ESMF) FOR THE PROPOSED INDIA SMART CITIES PROGRAMME","False","False","Budget",2,"GB-GOV-1-300109-104",12,"GB"
2015,998,"998",10,,110,"C01",6421.6302108,"Support to NATO and UK military exercises",430,43082,,"Title: Support to NATO and UK military exercises","False","False","Transaction",,"GB-1-203942-101",12,"GB"
2011,288,"ZM",,,,"C01",5666.6661,"ZM-Incr.Eff.&Access to Elec SIL (FY08)",230,23067,,"The objective of the Increased Access to Electricity Services Project of Zambia is to increase access to electricity services and improve efficiency and quality of the electricity distribution system in targeted areas. The project has three components: (1) Zambia Electricity Supply Company (ZESCO) efficiency improvement: including reinforcement of existing distribution networks, intensification within existing grids in peri-urban areas, and energy efficiency and demand side management; (2) access expansion: including grid extension to rural areas, isolated grids such as mini-hydro, and solar PV for schools, clinics, commercial establishments, and household market; and (3) technical assistance for both ZESCO and the Rural Electrification Authority (REA).","False","False","Budget",2,"44000-P077452",905,"ida"
2012,645,"IN",10,,110,"B03",-271.633682577,"IR68-TN-THEMATIC DISCOURSE AND ADVOCAC",151,15150,,"IR68-Key stakeholders in sectoral programmes at state and national level are engaged in equity focused, evidence based thematicdiscourse, advocacy materials and policy development and implementation","False","False","Budget",2,"41122-India-2040/A0/04/832/014",963,"unicef"
2011,235,"CD",10,,110,"C01",1487324.20781,"DRC De-mining Programme (MAG)",152,15250,,"Title: DRC De-mining Programme (MAG)","False","False","Budget",2,"GB-1-201745-103",12,"GB"
2013,261,"NG",10,,110,"C01",1153.79445159,"Partnership for Transforming Health Systems 2 - Procurement of Services",151,15111,,"Title: Partnership for Transforming Health Systems 2 - Procurement of Services","False","False","Transaction",,"GB-1-104229-101",12,"GB"
2015,998,"998",10,,110,"C01",24610.08,"Not Applicable",151,151,,"Award Description - The description for this item is Support For Democracy","False","False","Transaction",,"US-GOV-11-998-SLMAQM14GR1028",302,"US"
2013,238,"ET",10,,110,"C01",4645.52907619,"ACORD's Pan African Agriculture Program",311,31166,,"To respond to the challenge of food security across Africa, the Pan-African Agriculture Program contributes to the goal set by the African Union (AU) and the New Partnership for Africa's Development (NEPAD) through the Comprehensive Africa Agriculture Development Programme (CAADP) to achieve a 6-percent growth per year in the agricultural sector Africa-wide by 2015. Through such activities as training and workshops, the project aims to disseminate, at the grassroots level, agricultural policies, information, and sustainable practices in small-scale farming and pastoralism in order to build the capacity of African farmers and pastoralists. The project supports the Agency for Cooperation and Research in Development (ACORD) in facilitating the active engagement of over 200 organizations of small-scale farmers and pastoralists in two processes that have significant impacts on their livelihood: the implementation of the CAADP and the development of the AU's Pastoral Policy Framework (PPF) for Africa. This supports the CAADP and the PPF to adequately address and respond to the realities of African communities.   ACORD is an African-led organization with 30 years' experience working with grassroots communities in 18 countries across Africa, through its extensive networks and partners. To sustain its work and resources over the long term, the project also supports the strengthening of ACORD's Pan-African Agriculture Program and the development of ACORD into a more effective and efficient pan-African organization.","False","False","Transaction",,"CA-3-A033873001",301,"CA"
2016,440,"EC",10,,110,"B03",155829.839873,"Sound financial practices managed through an adequate control framework",121,12110,,"Sound financial practices managed through an adequate control framework","False","False","Budget",1,"XM-DAC-928-EC-2016-17-06.004.AM01.ECU01",928,"who"
2016,,"XZ",10,,110,"C01",11.9480905753,"Growth and Economic Opportunities for Women: Supporting Program Excellence",151,15111,,"The research program Growth and Economic Opportunities for Women (GrOW) aims to address knowledge gaps on women's economic empowerment and how empowerment connects with economic growth. It also strives to stimulate innovative research partnerships and to engage policymakers. This project will help the GrOW program hire external experts to support program excellence and to plan learning events for GrOW grantees.

GrOW is a joint initiative of IDRC, the UK's Department for International Development, and The William and Flora Hewlett Foundation. It represents a joint investment of CA$16.4 million over five years. This project will allow the GrOW team to cover the costs to: 
-strengthen the evidence base on women's economic empowerment
-enhance research capacity through monitoring and peer review
-promote the uptake of GrOW research into policy and action 
-plan learning events to enhance policy research capacities
-promote a GrOW program-level research uptake strategy and 
-enhance the GrOW monitoring and evaluation strategy.","False","False","Transaction",,"XM-DAC-301-2-107663-001",301,"CA"
2013,998,"998",10,,110,"B03",0,"OUTPUT 1: RENFORCEMENT DES CAPACITES",122,12220,,"By 2016, MSPP has models of decentralized health management system based on performance and budget planning tools centered on high-impact child survival interventions","False","False","Transaction",,"41122-Haiti-1830/A0/07/402/001",963,"unicef"
2007,227,"BW",10,,110,"D02",255349.448609,"ECORYS NEDERLAND BV (FWC) CONSULTANCY ON PROCUREMENT POLICYAND INSTITUTIONAL ADVICE",151,15110,,"ECORYS NEDERLAND BV (FWC) CONSULTANCY ON PROCUREMENT POLICYAND INSTITUTIONAL ADVICE","False","False","Budget",2,"XI-IATI-EC_DEVCO-2007/192-188",918,"EU"
2009,615,"TJ",,,,"C01",13682.7625,"ENERGY LOSS REDUCTION",230,23040,,"The development objectives of the Project are: (i) to assist in reducing the commercial losses in the electricity and gas systems, and to lay the foundation for the improvement of the financial viability of the electricity and gas utilities in a socially responsible manner; as well as (ii) to assist in the viability assessment of the Rogun Hydroelectric Project. In February 2012, Additional Financing for the Energy Los Reduction Project of US$18 million (Grant No. H7570-TJ) was approved to cover a financing gap for completing the assessment studies for the proposed Rogun HEP (the Recipient<U+0092>s project for the planned construction of a 3,600 MW reservoir-type hydroelectric power plant along the Vakhsh River), as well as to scale up some other projects activities, including procurement and installation of additional electricity meters for the city of Dushanbe. The Project Development Objectives remained the same and the Closing Date of the Additional Financing was set for December 31, 2014.","False","False","Budget",2,"44000-P089244",905,"ida"
2006,77,"RO",,,,"C01",179999.99955,"MINE CLOSURE, ENV & SOCIO-ECO REG (CRL)",160,16010,,"The objective of the Mine Closure, Environment and Socio-Economic Regeneration Project for Romania is 'to strengthen the government's ability to undertake mining sector reform by: (i) building Extended Fund Facility (MEC's) capacity for closing uneconomic mining enterprises through support for closing complex mines and ancillary facilities in an environmentally sustainable manner; and (ii) providing support to mining communities and local public authorities for socio-economic regeneration of the mining regions through central entities.' The extension is necessary to enable the completion of 16 municipal infrastructure investments under the socioeconomic regeneration component, as well as to finalize civil works under the mine closure component, on three environmentally hazardous former mining sites - Vermesti, Baia Borsa, and Deva.  Work is currently on-going on these sites and the additional time is required to ensure a fully safe completion. The remaining work at the Vermesti site is a drainage and flood protection channel which was agreed with the Requestors in the context of a partial inspection panel investigation.  The work was initially delayed due to lack of financing from the budget in earlier years, and more recently because of complex implementation issues, in particular the need to coordinate the work schedule with the National Railroad Company under whose tracks the drainage and flood protection channel will pass. There are no overdue audits and previous audit reports have been found satisfactory to the Bank.  Overall financial management is rated satisfactory.","False","False","Budget",1,"44000-P087807",905,"ida"
2014,289,"289",,,,"C01",158124.99945,"SRB CCA & Strategic Plan Implementation",140,14040,,"The Senegal River Basin Multi-Purpose Water Resources Development (MWRD2) Project is the second phase of a 10-year program designed to enhance regional integration among the countries of the Senegal River Basin for multi-purpose water resources development, to foster improved community livelihoods. The MWRD2 Project Development Objective is to improve coordinated management of water resources for socially, environmentally and economically sustainable development in the Senegal River Basin. The project has three inter-related components supporting the project development objective: (1) Institutional development, (2) Multi-purpose water resources development and (3) Infrastructure management and planning. The objective of Institutional development is to build capacity for cooperative management. This first component will support both institutional development and project implementation. The objective of the second component is to promote income-generating activities and to improve livelihoods for the basin population, while the objective of the third component is to advance climate resilient water resources planning and development in the region. This document also presents a detailed analysis of the various sub-components and activities under each broad component and also elaborates on the implementation arrangements as well as other important aspects of the project such as financial management, procurements, environmental assessment and monitoring and evaluation.","False","False","Budget",1,"44000-P131323",905,"ida"
2013,,"QNE",10,,110,"C01",212067.962027,"Bosques y Territorios Étnicos en el Chocó-Darién Columbo-Ecuatoriano: Protección Territorial, Manejo y Comercialización Responsable de Productos Forestales",312,31220,,"La Acción tendrá efectos directos sobre casi 2000 familias de 42 comunidades, agrupadas en 6 organizaciones territoriales asociativas de comunidades indgenas y afrodescendientesque ejercen el gobierno de 2.700.00 hectáreas de territorios.","False","False","Transaction",,"XI-IATI-EC_DEVCO-2008/151-979",918,"EU"
2008,232,"TD",10,,110,"D01",798.868238008,"Canadian College Partnership Program (CCPP) - 2001-2011",111,11130,,"The goal of the Canadian College Partnership Program is to increase the capacity of educational and training organizations in developing countries to address their respective country's sustainable development priorities. The program provides funding on a cost-shared basis for projects developed by Canadian community colleges, vocational colleges, and similar institutions. The projects funded aim to build the capacities of educational and training institutions in developing countries to address the development needs of the communities they serve.   The program supports two categories of projects: (1) major development and institutional strengthening projects that often involve policy development, planning, and the management of technical and vocational training systems and (2) smaller, more narrowly defined partnership projects that focus on institutional capacity building and poverty reduction in specific communities.","False","False","Transaction",,"CA-3-S061266PRG",301,"CA"
2014,460,"UY",,,,"C01",70000,"UY Sust.Mgmt  Nat Res & Climate Change",410,41030,,"The development objective of the Sustainable Management of Natural Resources and Climate Change Project for Uruguay is to support Uruguay's efforts to promote farmer adoption of improved environmentally sustainable agricultural and livestock practices that are climate smart. Under this restructuring the loan agreement will be modified to include preparation grants as an eligible cost under the project to finance preparation of subprojects (feasibility studies), under part two of the project. A preparation grant is defined as a grant made, or to be made, to a beneficiary out of the proceeds of the loan to partially finance consultants<U+0092> services and non-consultant services needed for the carrying out of feasibility studies required for the preparation of a sub-project proposal.","False","False","Budget",1,"44000-P124181",905,"ida"
2012,666,"BD",,,,"C01",96181.6584,"BD:Emergency 2007 Cyclone Recovery &Rest",311,31163,,"The objective of the Emergency 2007 Cyclone Recovery and Restoration Project is to support the Government of Bangladesh efforts to facilitate restoration and recovery from the damage to livelihoods and infrastructure caused by Cyclone Sidr and to build long-term preparedness through strengthened disaster risk management. The additional financing will help finance the costs associated with the Government of Bangladesh's (GOB) efforts to facilitate recovery from the damage and losses caused by Cyclone Sidr (2007) and Cyclone Aila (2009). The damages and losses from Cyclone Sidr alone were estimated to be US$1.7 billion, and an International Development Association (IDA) credit of US$109 million was made available to address the most pressing needs for recovery and reconstruction. The rationale for the additional financing is for IDA to continue its increasing support to the Government of Bangladesh's efforts for disaster risk reduction and mitigation and improved institutional capacity and meet the funding gap. As mentioned earlier, the original project was designed as a US$200 million IDA credit, but because of the lack of IDA availability at the time, the project size was reduced to US$109 million at appraisal. However, it was agreed to explore options for additional financing once the project implementation kicks off satisfactorily. These funds will be able to address a further portion of the US$1.2 billion in damages and US$524 million in losses to the economy caused by Cyclone Sidr alone.","False","False","Budget",2,"44000-P111272",905,"ida"
2005,998,"998",10,,110,"C01",147399.764466,"PMU ram 2005-2006 Syd",998,99820,,"The activity ""[PMU ram 2005-2006 Syd]"" does not have a description. Please check if there are documents linked to the activity or contact Sida directly for more information. You can call +46 8 698 50 00 or send an e-mail to sida@sida.se.","True","True","Budget",,"SE-0-SE-6-7400268501-GGG-99820",10,"SE"
2015,251,"LR",10,,110,"C01",74603,"Direct Project Cost - LBR CO",998,99810,,"The project  aimes to be a repository for direct project cost recovery.","False","False","Budget",2,"XM-DAC-41114-OUTPUT-00095065",959,"undp"
2010,288,"ZM",,,110,"B02",2700.5433182,"Commonwealth of Learning - Institutional Support 2010-11",111,11182,,"This grant represents Canada’s institutional support to the Commonwealth of Learning (COL). COL uses these funds, along with other donor funding, to achieve its mandate.   COL’s mandate is to help governments and institutions expand the scope, scale and quality of learning by using new approaches and technologies for open and distance learning. COL applies open and distance learning to programs in grade schooling, teacher education, higher education, skills development, farming and the development of healthy communities.   Canada’s support to COL contributes to finding durable solutions to education challenges and improving the quality of learning in developing countries across the Commonwealth.","False","False","Budget",1,"CA-3-M013276002",301,"CA"
2013,253,"MW",10,,110,"C01",65693.08,"Child Survival and Health Grants Program (CSHGP) - Save the Children (Malawi)",130,13030,,"The CSHGP facilitates a dynamic partnership between USAID and private and voluntary organizations (PVOs)/NGOs. Through the CSHGP, USAID leverages the development entrepreneurship and know how of PVOs/NGOs and their local partners for innovative and effective community-oriented programming that sustainably improves maternal, newborn and child health (MNCH) outcomes, strengthens local and community health systems, and contributes to reductions in morbidity and mortality. PVOs/NGOs, with their local partners (national and local MOH, local NGOs/CBOs, communities), implement in a range of settings, from remote communities in a single district to multiple districts or a province. Projects address critical health needs of vulnerable populationsand work strategically with a systems approach at the household, community,health facility, and policy levels and strengthens linkages as relevant.","False","False","Transaction",,"US-GOV-1-MW-AID-OAA-A-11-00058",302,"US"
2013,745,"LA",10,,110,"B03",21241.5185871,"IR 4. WASH IN SCHOOLS",122,12261,,"Children and teachers in schools of educationally most disadvantaged 60 EFA-FTI districts have access to and use improved watersources and separate sanitation facilities for girls and boys.","False","False","Budget",2,"41122-Lao People's Dem Rep.-2460/A0/04/500/004",963,"unicef"
2011,728,"KH",10,,110,"C01",2846.90529267,"Community Education in Agriculture, Sanitation and Saving",140,14031,,"This project takes place in 20 rural villages in the Anlong Veng District of Otdar Meanchey province, mainly composed of rural farmers, 75% of which depend on income from rice farming. All project activities are under the control of the local communities and reflect their needs. The project emphasizes enabling local human resources to accomplish local objectives. Village-level committees are established, composed of volunteers trained to teach agriculture and health sessions to neighbouring families. Agricultural topics include integrated pest management, green manure, single seedling technique, and drip irrigation. Health topics include improved nutritional, hygiene, and disease prevention behaviours. Committee volunteers also encourage women to gather into savings groups to increase their savings and obtain access to affordable credit. Women's leadership in the community has been considerably strengthened thanks to the project.   The local partner is Food For the Hungry Cambodia.   This is one of two components of a project valued at $410,605. The first component has been completed.","False","False","Transaction",,"CA-3-S064253002",301,"CA"
2006,229,"CM",10,,110,"B03",9074.574478,"Forum Syd Ram SYD 06-08",430,43040,,"Ramstöd till Forum Syd 2006-2008. Vidareförmedling till svenska EOs för utvecklingssamarbete Syd","True","True","Transaction",,"SE-0-SE-6-7400289701-CMR-43040",10,"SE"
2017,645,"IN",10,,110,"C01",60362.0550256,"Delivering Technical Assistance for Climate Resilient Infrastructure under India's Rural Employment Guarantee Programme",430,43040,,"Title: Delivering Technical Assistance for Climate Resilient Infrastructure under India's Rural Employment Guarantee Programme","False","False","Transaction",,"GB-1-204794-103",12,"GB"
2009,253,"MW",10,,110,"C01",1516.35056825,"CARE Canada - Program 2007-2012",311,31120,,"The aim of this program is to reach over 550,000 people in over 20 countries through projects that focus on health-HIV/AIDS, environment, natural resource management and economic development, while respecting the cross-cutting themes of gender equality, governance, capacity building and knowledge management. Women and girls and the rural poor are the main beneficiaries of the program. The overall goal is to improve the livelihood security of marginalized and vulnerable populations. Each of the sectors of health-HIV/AIDS, environment and natural resource management and economic development have a clear link to poverty and vulnerability.","False","False","Transaction",,"CA-3-S063755PRG",301,"CA"
2001,998,"998",10,,110,"C01",14217.577187,"80/00/H - Miljö",140,14010,,"Internationell kurs   Vattenavrinning","True","True","Budget",,"SE-0-SE-6-7100219401-GGG-14010",10,"SE"
2011,580,"YE",,,,"C01",476207.0187,"RY-WATER SECTOR SUPPORT",311,31140,,"The development objective of the Water Sector Support Project (WSSP) for Yemen is to: (a) strengthen institutions for sustainable water resources management; (b) improve community-based water resource management; (c) increase access to water supply and sanitation services; (d) increase returns to water use in agriculture; and (e) stabilize and reduce groundwater abstraction for agricultural use in critical water basins. This restructuring will bring the following changes: (i) change to the project<U+0092>s description to reflect the activities to be financed out of the grant; (ii) change to the withdrawal schedule to reflect the loss of joint co-financing, namely amendment of the percentage of expenditures to be financed by the Bank; (iii) amendment of the performance monitoring indicators as reflected in supplemental letter number two to the financing agreement (FA); (iv) reallocation of funds between various categories of expenditure in the withdrawal schedule; (v) change from interim financial report (IFR) to statement of expenditures (SOE) based disbursement; and (vi) extension of the grant closing date from August 31, 2014 to July 31, 2016.","False","False","Budget",1,"44000-P107037",905,"ida"
2013,880,"WS",10,,110,,1599.21087677,"NZ Regional Development Scholarships (NZRDS)",114,11420,,"Funding for continuing and new students studying under the New Zealand Regional Development Scholarships  scheme for the 2010/11 financial year. This scheme provides opportunities for Samoan students who have completed the National University of Samoa Foundation Year to undertake full-time, undergraduate level study at approved tertiary institutions in the Pacific (excluding New Zealand, Australia and Hawai).","False","False","Transaction",,"NZ-1-1718",820,"NZ"
2015,274,"DJ",10,,110,"B03",454030,"OUTPUT 2.2 LES DISPARITÉS DANS L#ACCÈS",112,11220,,"By 2017, the capacities of the education system are reinforced to improve the enrollment of out-of-school children, especiallychildren with disabilities, girls living in rural areas and other vulnerable children, including during emergency situations","False","False","Transaction",,"41122-Djibouti-6690/A0/05/092/003",963,"unicef"
2014,349,"HT",10,,110,"C01",557967,"Leveraging Effective Application of Direct Investments (LEAD)",240,24040,,"Leveraging Effective Application of Direct Investments (LEAD)","False","False","Transaction",,"US-GOV-1-HT-AID-521-A-00-11-00010",302,"US"
2008,238,"ET",10,,110,"B04",543559.70606,"Public Sector Capacity Building Programme - TA",151,15160,,"The Public Sector Capacity Building Program is a multi-donor initiative designed to improve the efficiency and responsiveness of public service delivery across all levels of government; empower citizens to participate more effectively in shaping their own development; and promote good governance and accountability.   Designed to improve the responsiveness, transparency, and fiscal responsibility of the country’s public service, the program is implemented by the United Nations Development Program (UNDP). The program also aims to increase the government’s capacity to manage urban development, to decentralize a number of services, to reform the tax and justice systems, and to improve information and communications technologies used by the public service. As part of the program, participatory processes are developed to assess public requirements and to help the government in planning and budgeting. At the same time, people’s access to information about national and regional services is improved. The UNDP focuses on decentralization as a critical aspect of the program, identifying capacity building in local communities as a means of improving public service delivery.","False","False","Transaction",,"CA-3-A036005001",301,"CA"
