ISO	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
BHS	The Bahamas	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2017	2.035	2.109	2.374	2.643	2.822	3.074	3.323	3.658	3.804	4.288	4.088	4.018	4.015	3.993	4.208	4.429	4.661	4.961	5.354	6.020	6.328	6.517	6.958	6.949	7.094	7.706	7.966	8.319	8.247	7.820	7.910	7.890	8.399	8.522	8.618	8.854	8.717	9.127	9.515	9.915	10.267	10.613	10.935	2015
BHS	The Bahamas	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.035	2.109	2.374	2.643	2.822	3.074	3.323	3.658	3.804	4.288	4.088	4.018	4.015	3.993	4.208	4.429	4.661	4.961	5.354	6.020	6.328	6.517	6.958	6.949	7.094	7.706	7.966	8.319	8.247	7.820	7.910	7.890	8.399	8.522	8.618	8.854	8.717	9.127	9.515	9.915	10.267	10.613	10.935	2015
BHR	Bahrain	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 08/2017	1.354	1.525	1.603	1.642	1.705	1.609	1.259	1.363	1.685	1.758	1.867	1.958	2.046	2.251	2.411	2.552	2.653	2.752	2.630	2.851	3.408	3.455	3.607	4.164	4.944	6.004	6.958	8.170	9.667	8.625	9.668	10.820	11.562	12.235	12.554	11.703	11.979	12.736	13.298	13.776	14.295	14.841	15.400	2016
BHR	Bahrain	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.593	4.056	4.264	4.368	4.534	4.278	3.347	3.626	4.481	4.675	4.965	5.209	5.442	5.986	6.411	6.787	7.057	7.318	6.996	7.582	9.063	9.189	9.594	11.075	13.150	15.969	18.505	21.730	25.711	22.938	25.713	28.777	30.749	32.539	33.388	31.126	31.858	33.873	35.367	36.638	38.019	39.472	40.958	2016
BGD	Bangladesh	Gross domestic product, current prices	National currency	Billions	Source: Bangladesh Bureau of Statistics Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report July/June, we report Jan/Dec. Base year: 2005 Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2017	349.757	396.724	446.713	520.995	610.121	693.021	789.184	886.201	980.694	1,098.664	1,223.146	1,334.607	1,420.761	1,512.824	1,670.315	1,849.637	2,013.133	2,209.515	2,435.735	2,649.848	2,846.211	3,055.721	3,328.568	3,675.313	4,082.127	4,562.197	5,160.683	5,892.411	6,668.771	7,513.053	8,566.838	9,855.164	11,270.636	12,712.988	14,297.383	16,243.330	18,444.597	20,887.410	23,663.615	26,754.306	30,248.696	34,186.136	38,607.253	2016
BGD	Bangladesh	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.632	22.057	20.197	21.165	24.064	24.756	25.954	28.633	30.904	34.046	35.383	36.468	36.476	38.234	41.538	45.921	48.168	50.340	51.928	53.984	54.586	54.755	57.500	63.204	68.593	70.921	75.770	85.604	97.062	108.896	122.039	131.079	141.705	161.297	183.966	206.695	228.388	250.023	273.618	298.943	326.390	356.218	388.769	2016
BRB	Barbados	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Latest actual data: 2015. Nominal national accounts is 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1974. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Real and nominal GDP data generate inconsistency in the deflator because over time, they were produced by two separates institutions. GDP series provided by the authorities include statistical discrepancies. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2017	2.036	2.241	2.341	2.486	2.709	2.835	3.113	3.428	3.646	4.035	4.047	4.064	3.914	4.150	4.327	4.550	4.851	5.127	5.781	6.058	6.243	6.233	6.339	6.550	7.029	7.795	8.607	9.092	9.191	9.202	8.894	8.718	8.664	8.742	8.705	8.847	9.104	9.643	10.253	10.593	10.997	11.469	11.968	2015
BRB	Barbados	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.018	1.120	1.171	1.243	1.355	1.418	1.557	1.714	1.823	2.018	2.024	2.032	1.957	2.075	2.163	2.275	2.425	2.564	2.891	3.029	3.122	3.117	3.170	3.275	3.514	3.897	4.303	4.546	4.595	4.601	4.447	4.359	4.332	4.371	4.353	4.424	4.552	4.821	5.126	5.297	5.499	5.735	5.984	2015
BLR	Belarus	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2016 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian rubel Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	--	--	0.005	0.012	0.019	0.035	0.068	0.292	0.913	1.717	2.614	3.656	4.999	6.507	7.927	9.717	12.979	13.744	17.047	30.725	54.762	67.069	80.579	89.910	94.321	102.589	111.274	120.658	131.256	143.110	156.306	2016
BLR	Belarus	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12.364	11.020	15.152	10.179	13.953	13.543	14.589	11.678	12.758	12.421	14.654	17.812	23.141	30.211	36.963	45.275	60.746	49.191	57.220	61.368	65.669	75.496	78.736	56.329	47.388	52.783	54.023	56.331	58.920	61.779	64.389	2016
BEL	Belgium	Gross domestic product, current prices	National currency	Billions	Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 08/2017	89.853	94.207	101.942	108.000	116.682	124.097	129.893	135.129	144.580	156.773	166.238	174.156	182.877	188.349	198.499	211.616	215.943	225.968	234.489	244.227	258.221	265.788	275.065	282.637	298.710	311.481	326.662	344.713	354.066	348.781	365.100	379.106	387.500	391.731	400.797	410.246	421.612	435.962	449.969	464.795	480.231	497.117	514.684	2016
BEL	Belgium	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	124.137	102.813	90.462	85.500	81.690	84.950	117.800	146.215	158.968	160.706	201.235	206.535	230.030	219.932	239.931	289.904	281.468	255.169	260.970	260.545	238.602	238.046	259.777	319.614	371.387	388.029	410.173	472.476	521.084	485.781	484.449	527.491	498.160	520.280	532.596	455.219	466.559	491.672	529.342	549.278	568.422	586.358	604.482	2016
BLZ	Belize	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 09/2017	0.344	0.359	0.359	0.378	0.422	0.418	0.456	0.533	0.630	0.726	0.824	0.889	1.036	1.119	1.161	1.240	1.283	1.309	1.378	1.465	1.664	1.744	1.865	1.981	2.116	2.228	2.435	2.581	2.739	2.677	2.797	2.973	3.147	3.227	3.413	3.485	3.481	3.638	3.809	3.959	4.111	4.267	4.429	2015
BLZ	Belize	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.172	0.179	0.179	0.189	0.211	0.209	0.228	0.267	0.315	0.363	0.412	0.445	0.518	0.560	0.581	0.620	0.641	0.654	0.689	0.732	0.832	0.872	0.933	0.990	1.058	1.114	1.217	1.291	1.370	1.339	1.398	1.487	1.574	1.614	1.707	1.743	1.740	1.819	1.905	1.980	2.056	2.134	2.215	2015
BEN	Benin	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2017	379.049	327.507	379.347	416.634	465.500	499.044	491.370	498.807	514.598	509.103	533.630	560.388	594.416	644.070	887.259	1,082.966	1,207.835	1,323.938	1,448.386	1,656.100	1,829.200	1,964.600	2,129.100	2,269.800	2,388.600	2,533.800	2,688.700	2,860.700	3,194.000	3,351.200	3,452.000	3,687.200	4,162.200	4,523.900	4,799.500	4,903.800	5,083.878	5,472.419	5,919.262	6,415.309	6,976.627	7,616.410	8,245.754	2015
BEN	Benin	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.685	1.140	1.128	0.999	1.065	1.111	1.419	1.660	1.728	1.596	1.960	1.987	2.246	2.274	1.598	2.169	2.361	2.268	2.455	2.690	2.577	2.682	3.065	3.913	4.527	4.812	5.147	5.977	7.166	7.116	6.983	7.821	8.157	9.160	9.723	8.295	8.577	9.410	10.616	11.558	12.569	13.722	14.855	2015
BTN	Bhutan	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: 2000. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 08/2017	1.000	1.189	1.365	1.573	1.832	2.065	2.380	2.963	3.644	4.242	4.925	5.539	6.177	6.929	7.944	9.290	10.663	12.449	14.677	17.082	19.038	21.108	24.293	27.540	30.410	33.979	38.393	45.065	52.100	57.982	66.859	78.723	91.201	101.416	112.462	125.784	141.430	158.506	183.866	218.040	246.446	270.021	299.077	2016
BTN	Bhutan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.127	0.137	0.144	0.156	0.161	0.167	0.189	0.229	0.262	0.261	0.281	0.244	0.238	0.249	0.253	0.296	0.311	0.348	0.382	0.401	0.436	0.455	0.504	0.575	0.670	0.762	0.858	1.020	1.291	1.214	1.433	1.737	1.814	1.849	1.830	2.027	2.121	2.321	2.628	3.049	3.374	3.612	3.903	2016
BOL	Bolivia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 09/2017	--	--	--	0.001	0.019	2.366	7.608	8.884	10.806	12.694	15.443	19.132	22.014	24.459	27.636	32.235	37.537	41.644	46.822	48.156	51.928	53.790	56.682	61.904	69.626	77.024	91.748	103.009	120.694	121.727	137.876	166.232	187.154	211.856	228.004	228.031	233.602	259.141	281.468	304.023	330.140	359.922	391.985	2015
BOL	Bolivia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.589	3.440	3.813	3.609	3.752	4.059	3.970	4.323	4.598	4.716	4.868	5.343	5.643	5.734	5.970	6.702	7.375	7.917	8.490	8.269	8.385	8.155	7.917	8.092	8.785	9.573	11.520	13.216	16.792	17.464	19.786	24.135	27.282	30.883	33.237	33.241	34.053	37.776	41.030	44.318	48.125	52.467	57.141	2015
BIH	Bosnia and Herzegovina	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Authorities provided revised supply-side GDP data for the period 00-10 and demand -side GDP data for the period 04-10. Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Convertible marka Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.521	7.894	9.219	10.571	11.790	12.641	13.946	14.690	15.998	17.198	19.426	21.896	24.984	24.780	25.346	26.210	26.193	26.743	27.304	28.523	29.279	30.776	31.988	33.389	34.926	36.511	38.317	2016
BIH	Bosnia and Herzegovina	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.584	4.578	5.281	5.766	5.554	5.784	6.711	8.477	10.157	10.935	12.460	15.323	18.712	17.601	17.164	18.629	17.207	18.155	18.522	16.174	16.568	17.457	18.560	19.448	20.363	21.204	22.150	2016
BWA	Botswana	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 07/2017	0.879	0.918	1.173	1.399	1.823	2.419	2.815	3.784	5.887	6.540	7.052	7.971	8.748	10.080	11.434	13.114	16.115	18.328	20.244	25.361	29.531	32.066	34.416	37.181	42.037	50.752	59.107	67.153	74.721	73.462	93.390	104.573	111.896	124.311	145.868	145.923	169.688	180.321	192.231	204.628	217.474	231.045	245.509	2015
BWA	Botswana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.175	1.038	1.095	1.210	1.201	1.118	1.516	2.376	3.084	3.444	3.803	3.806	3.932	3.961	4.261	4.732	4.881	5.024	4.819	5.485	5.804	5.516	5.456	7.538	8.969	10.027	10.165	10.942	11.028	10.317	13.755	15.334	14.701	14.814	16.259	14.435	15.568	16.725	17.538	18.218	18.914	19.610	20.380	2015
BRA	Brazil	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 08/2017	--	--	--	--	--	--	--	--	--	--	0.012	0.060	0.641	14.097	356.801	720.985	854.763	952.089	1,002.351	1,087.711	1,199.093	1,315.756	1,488.788	1,717.951	1,957.750	2,170.584	2,409.450	2,720.263	3,109.803	3,333.039	3,885.847	4,376.382	4,814.760	5,331.619	5,778.952	6,000.572	6,266.895	6,604.233	7,016.266	7,484.432	7,988.079	8,515.535	9,082.998	2016
